Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	fatty acid catabolic process (GO:0009062)	2/70	1.587378e-03	8.184675e-02	0	0	3.904902e+01	2.516972e+02	ABCD3;PCCA
GO_Biological_Process_2021	lipid biosynthetic process (GO:0008610)	2/80	2.066725e-03	8.184675e-02	0	0	3.402564e+01	2.103394e+02	ABCD3;HMGCR
GO_Biological_Process_2021	very long-chain fatty acid catabolic process (GO:0042760)	1/7	5.935662e-03	8.184675e-02	0	0	2.080938e+02	1.066850e+03	ABCD3
GO_Biological_Process_2021	ganglioside catabolic process (GO:0006689)	1/7	5.935662e-03	8.184675e-02	0	0	2.080938e+02	1.066850e+03	NEU1
GO_Biological_Process_2021	regulation of vascular associated smooth muscle cell differentiation (GO:1905063)	1/7	5.935662e-03	8.184675e-02	0	0	2.080938e+02	1.066850e+03	NFATC2
GO_Biological_Process_2021	short-chain fatty acid catabolic process (GO:0019626)	1/8	6.780906e-03	8.184675e-02	0	0	1.783571e+02	8.906522e+02	PCCA
GO_Biological_Process_2021	isoprenoid metabolic process (GO:0006720)	1/8	6.780906e-03	8.184675e-02	0	0	1.783571e+02	8.906522e+02	HMGCR
GO_Biological_Process_2021	tyrosine phosphorylation of STAT protein (GO:0007260)	1/8	6.780906e-03	8.184675e-02	0	0	1.783571e+02	8.906522e+02	PTK6
GO_Biological_Process_2021	negative regulation of vascular associated smooth muscle cell differentiation (GO:1905064)	1/8	6.780906e-03	8.184675e-02	0	0	1.783571e+02	8.906522e+02	NFATC2
GO_Biological_Process_2021	negative regulation of amyloid-beta clearance (GO:1900222)	1/8	6.780906e-03	8.184675e-02	0	0	1.783571e+02	8.906522e+02	HMGCR
GO_Biological_Process_2021	short-chain fatty acid metabolic process (GO:0046459)	1/9	7.625474e-03	8.184675e-02	0	0	1.560547e+02	7.609634e+02	PCCA
GO_Biological_Process_2021	biotin metabolic process (GO:0006768)	1/9	7.625474e-03	8.184675e-02	0	0	1.560547e+02	7.609634e+02	PCCA
GO_Biological_Process_2021	isoprenoid biosynthetic process (GO:0008299)	1/9	7.625474e-03	8.184675e-02	0	0	1.560547e+02	7.609634e+02	HMGCR
