itemset,size,support,support_pct,drugs
TPM__MIR142HG,1,104,42.97520661157025,"PCI-34051, JAK_8517, Oxaliplatin, Cytarabine, Ribociclib (+99)"
TPM__NCKAP1L,1,82,33.88429752066116,"Oxaliplatin, Axitinib, Cytarabine, Ribociclib, Bortezomib (+77)"
TPM__IKZF1,1,80,33.057851239669425,"Oxaliplatin, Cytarabine, UNC0379, Savolitinib, GSK626616AC (+75)"
METH__CCM2,1,76,31.40495867768595,"Oxaliplatin, Axitinib, GSK2606414, Dasatinib, PFI3 (+71)"
TPM__PIK3CG,1,68,28.09917355371901,"Bortezomib, AGI-5198, Podophyllotoxin bromide, PFI3, alpha-lipoic acid (+63)"
"TPM__IKZF1, TPM__MIR142HG",2,64,26.446280991735538,"Oxaliplatin, Cytarabine, Savolitinib, GSK626616AC, Podophyllotoxin bromide (+59)"
"TPM__MIR142HG, TPM__NCKAP1L",2,61,25.206611570247933,"Oxaliplatin, Cytarabine, Ribociclib, GSK626616AC, Podophyllotoxin bromide (+56)"
"METH__CCM2, TPM__MIR142HG",2,56,23.140495867768596,"Oxaliplatin, PFI3, LMB_AB1, Nutlin-3a (-), RO-3306 (+51)"
METH__ZNF697,1,55,22.727272727272727,"615590, AT13148, UNC0379, Ribociclib, Bortezomib (+50)"
METH__PTPN14,1,53,21.90082644628099,"615590, JAK_8517, Oxaliplatin, UNC0379, alpha-lipoic acid (+48)"
"TPM__IKZF1, TPM__NCKAP1L",2,52,21.487603305785125,"Oxaliplatin, Cytarabine, GSK626616AC, Podophyllotoxin bromide, PFI3 (+47)"
METH__DSTN,1,50,20.66115702479339,"615590, Axitinib, Bortezomib, Savolitinib, AGI-5198 (+45)"
"METH__CCM2, TPM__NCKAP1L",2,48,19.834710743801654,"Oxaliplatin, Axitinib, PFI3, LMB_AB1, Nutlin-3a (-) (+43)"
"METH__CCM2, TPM__IKZF1",2,48,19.834710743801654,"Oxaliplatin, PFI3, LMB_AB1, Nutlin-3a (-), RVX-208 (+43)"
TPM__PDE1B,1,47,19.421487603305785,"PCI-34051, Oxaliplatin, Ribociclib, PFI3, LMB_AB1 (+42)"
"TPM__MIR142HG, TPM__PIK3CG",2,46,19.00826446280992,"Podophyllotoxin bromide, PFI3, alpha-lipoic acid, Cisplatin, RVX-208 (+41)"
"TPM__IKZF1, TPM__MIR142HG, TPM__NCKAP1L",3,45,18.59504132231405,"Oxaliplatin, Cytarabine, GSK626616AC, Podophyllotoxin bromide, PFI3 (+40)"
TPM__PTPN7,1,44,18.181818181818183,"Oxaliplatin, UNC0379, Ribociclib, LJI308, PFI3 (+39)"
"TPM__NCKAP1L, TPM__PDE1B",2,41,16.94214876033058,"Oxaliplatin, Ribociclib, PFI3, LMB_AB1, Elephantin (+36)"
METH__C9orf150,1,41,16.94214876033058,"Oxaliplatin, AT13148, UNC0379, Ribociclib, Bortezomib (+36)"
"METH__CCM2, TPM__IKZF1, TPM__MIR142HG",3,40,16.528925619834713,"Oxaliplatin, PFI3, LMB_AB1, Nutlin-3a (-), RVX-208 (+35)"
METH__KLF4,1,40,16.528925619834713,"GSK2606414, Bortezomib, Savolitinib, BPD-00008900, I-BRD9 (+35)"
"METH__CCM2, TPM__MIR142HG, TPM__NCKAP1L",3,39,16.115702479338843,"Oxaliplatin, PFI3, LMB_AB1, Nutlin-3a (-), RO-3306 (+34)"
"TPM__MIR142HG, TPM__PTPN7",2,38,15.702479338842975,"Oxaliplatin, Ribociclib, LJI308, PFI3, LMB_AB1 (+33)"
"TPM__MIR142HG, TPM__PDE1B",2,38,15.702479338842975,"PCI-34051, Oxaliplatin, Ribociclib, PFI3, LMB_AB1 (+33)"
"TPM__NCKAP1L, TPM__PIK3CG",2,38,15.702479338842975,"Bortezomib, Podophyllotoxin bromide, PFI3, alpha-lipoic acid, Cisplatin (+33)"
"METH__CCM2, TPM__PIK3CG",2,38,15.702479338842975,"PFI3, RVX-208, I-BRD9, SN-38, Temozolomide (+33)"
