Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2019_Human,Other glycan degradation,1/18,0.0151962391911868,0.1724066498353301,0,0,73.40441176470588,307.3227868353231,NEU1
KEGG_2019_Human,Terpenoid backbone biosynthesis,1/22,0.0185435492893687,0.1724066498353301,0,0,59.410714285714285,236.908142520545,HMGCR
KEGG_2019_Human,Glyoxylate and dicarboxylate metabolism,1/30,0.0252060750668781,0.1724066498353301,0,0,43.00431034482759,158.28468525367578,PCCA
KEGG_2019_Human,Propanoate metabolism,1/32,0.0268650433589444,0.1724066498353301,0,0,40.225806451612904,145.49389961403264,PCCA
KEGG_2019_Human,ABC transporters,1/45,0.0375837425829818,0.1724066498353301,0,0,28.322443181818183,92.93113891804632,ABCD3
KEGG_2019_Human,Sphingolipid metabolism,1/47,0.0392228776844792,0.1724066498353301,0,0,27.088315217391305,87.72537577432398,NEU1
KEGG_2019_Human,"Valine, leucine and isoleucine degradation",1/48,0.0400414596344939,0.1724066498353301,0,0,26.51063829787234,85.306988915029,PCCA
KEGG_2019_Human,VEGF signaling pathway,1/59,0.0490026461589589,0.1724066498353301,0,0,21.470905172413794,64.75369451323282,NFATC2
KEGG_2019_Human,B cell receptor signaling pathway,1/71,0.0586886686600902,0.1724066498353301,0,0,17.779464285714287,50.413824044500984,NFATC2
KEGG_2019_Human,Adherens junction,1/72,0.0594916320576284,0.1724066498353301,0,0,17.528169014084508,49.46308393849017,ACTN1
KEGG_2019_Human,Bile secretion,1/72,0.0594916320576284,0.1724066498353301,0,0,17.528169014084508,49.46308393849017,HMGCR
KEGG_2019_Human,Peroxisome,1/83,0.0682817873305455,0.1724066498353301,0,0,15.16844512195122,40.713808681356575,ABCD3
KEGG_2019_Human,Th1 and Th2 cell differentiation,1/92,0.0754161609714499,0.1724066498353301,0,0,13.662087912087912,35.31285890817634,NFATC2
KEGG_2019_Human,Amoebiasis,1/96,0.0785704618658466,0.1724066498353301,0,0,13.08421052631579,33.28308421675135,ACTN1
KEGG_2019_Human,T cell receptor signaling pathway,1/101,0.0824990961274289,0.1724066498353301,0,0,12.426875,31.004654740919353,NFATC2
KEGG_2019_Human,C-type lectin receptor signaling pathway,1/104,0.0848487039018828,0.1724066498353301,0,0,12.063106796116504,29.7583039952957,NFATC2
KEGG_2019_Human,Th17 cell differentiation,1/107,0.0871926477709183,0.1724066498353301,0,0,11.71992924528302,28.59235270387481,NFATC2
KEGG_2019_Human,Leukocyte transendothelial migration,1/112,0.0910866691723313,0.1724066498353301,0,0,11.18918918918919,26.808668657669458,ACTN1
KEGG_2019_Human,AMPK signaling pathway,1/120,0.0972845999390133,0.1724066498353301,0,0,10.432773109243698,24.309556693339346,HMGCR
KEGG_2019_Human,Lysosome,1/123,0.0995985517879487,0.1724066498353301,0,0,10.17469262295082,23.46902388912111,NEU1
KEGG_2019_Human,Osteoclast differentiation,1/127,0.1026751379699901,0.1724066498353301,0,0,9.84970238095238,22.419747526457723,NFATC2
KEGG_2019_Human,Natural killer cell mediated cytotoxicity,1/131,0.1057418282048403,0.1724066498353301,0,0,9.544711538461538,21.444625878565983,NFATC2
KEGG_2019_Human,Systemic lupus erythematosus,1/133,0.107271471675282,0.1724066498353301,0,0,9.399147727272728,20.98258726036805,ACTN1
KEGG_2019_Human,Oxytocin signaling pathway,1/153,0.1224330638075378,0.1724066498353301,0,0,8.154194078947368,17.12536351840853,NFATC2
KEGG_2019_Human,Wnt signaling pathway,1/158,0.1261854138763246,0.1724066498353301,0,0,7.892515923566879,16.337530968323282,NFATC2
KEGG_2019_Human,Cellular senescence,1/160,0.1276821214646241,0.1724066498353301,0,0,7.79245283018868,16.038516261589184,NFATC2
KEGG_2019_Human,Hepatitis B,1/163,0.1299226594874313,0.1724066498353301,0,0,7.6469907407407405,15.606100540038362,NFATC2
KEGG_2019_Human,cGMP-PKG signaling pathway,1/166,0.1321577804475902,0.1724066498353301,0,0,7.506818181818182,15.191989083592048,NFATC2
KEGG_2019_Human,Tight junction,1/170,0.1351295363574209,0.1724066498353301,0,0,7.327662721893491,14.66647398450944,ACTN1
KEGG_2019_Human,Axon guidance,1/181,0.1432525579323695,0.1750321349063278,0,0,6.876041666666667,13.36115332197292,NFATC2
KEGG_2019_Human,Kaposi sarcoma-associated herpesvirus infection,1/186,0.1469210542211422,0.1750321349063278,0,0,6.688513513513514,12.827631741655056,NFATC2
KEGG_2019_Human,Focal adhesion,1/199,0.1563900772641042,0.1750321349063278,0,0,6.245265151515151,11.587476812427738,ACTN1
KEGG_2019_Human,Viral carcinogenesis,1/201,0.1578380398605665,0.1750321349063278,0,0,6.1821875,11.413466997170229,ACTN1
KEGG_2019_Human,Human immunodeficiency virus 1 infection,1/212,0.1657601139356306,0.1750321349063278,0,0,5.856635071090047,10.525624390681912,NFATC2
KEGG_2019_Human,Regulation of actin cytoskeleton,1/214,0.1671929342336873,0.1750321349063278,0,0,5.801056338028169,10.375809037256891,ACTN1
KEGG_2019_Human,Human T-cell leukemia virus 1 infection,1/219,0.1707648585849893,0.1750321349063278,0,0,5.666571100917431,10.01548175773835,NFATC2
KEGG_2019_Human,Human cytomegalovirus infection,1/225,0.1750321349063278,0.1750321349063278,0,0,5.513113839285714,9.608175927839138,NFATC2
